Date,Close,Volume,Open,High,Low
03/29/2012,$7.466,3981675,$7.638,$7.638,$7.406
03/30/2012,$7.448,4431560,$7.504,$7.588,$7.336
04/02/2012,$7.316,5140020,$7.466,$7.594,$7.306
04/03/2012,$7.602,5374020,$7.34,$7.6939,$7.334
04/04/2012,$7,22406545,$7.054,$7.098,$6.938
04/05/2012,$6.896,7546890,$7.02,$7.088,$6.882
04/09/2012,$6.63,8275775,$6.82,$6.858,$6.62
04/10/2012,$6.492,9238345,$6.63,$6.7698,$6.42
04/11/2012,$6.618,5526735,$6.648,$6.658,$6.402
04/12/2012,$6.688,5169020,$6.754,$6.896,$6.584
04/13/2012,$6.718,3247900,$6.788,$6.808,$6.57
04/16/2012,$6.45,5486020,$6.682,$6.74,$6.418
04/17/2012,$6.448,5574815,$6.486,$6.614,$6.408
04/18/2012,$6.532,4115480,$6.418,$6.55,$6.306
04/19/2012,$6.632,3874390,$6.55,$6.686,$6.5
04/20/2012,$6.632,4108870,$6.628,$6.746,$6.588
04/23/2012,$6.388,4453575,$6.572,$6.594,$6.342
04/24/2012,$6.364,3372335,$6.364,$6.44,$6.2
04/25/2012,$6.582,3560665,$6.414,$6.598,$6.414
04/26/2012,$6.698,2122595,$6.592,$6.704,$6.582
04/27/2012,$6.668,2945025,$6.72,$6.726,$6.582
04/30/2012,$6.626,2069240,$6.654,$6.672,$6.516
05/01/2012,$6.756,3294735,$6.626,$6.842,$6.626
05/02/2012,$6.788,2486255,$6.7,$6.878,$6.678
05/03/2012,$6.492,4196940,$6.782,$6.8,$6.426
05/04/2012,$6.366,6236430,$6.464,$6.492,$6.28
05/07/2012,$6.494,5789845,$6.392,$6.516,$6.322
05/08/2012,$6.038,15485900,$6.5,$6.5456,$5.874
05/09/2012,$6.012,9640615,$6.06,$6.154,$5.952
05/10/2012,$6.592,27781505,$6.594,$6.936,$6.48
05/11/2012,$6.45,6105025,$6.498,$6.688,$6.432
05/14/2012,$6.012,6903710,$6.384,$6.426,$6.01
05/15/2012,$5.886,7927660,$6.052,$6.192,$5.844
05/16/2012,$5.836,6280920,$5.916,$6.036,$5.776
05/17/2012,$5.714,5744590,$5.86,$5.958,$5.648
05/18/2012,$5.512,8082435,$5.674,$5.692,$5.366
05/21/2012,$5.754,7375850,$5.516,$5.852,$5.424
05/22/2012,$6.158,11830850,$6.02,$6.268,$6
05/23/2012,$6.204,6101745,$6.112,$6.21,$5.9
05/24/2012,$6.064,5377600,$6.25,$6.25,$5.938
05/25/2012,$5.962,3785045,$6.032,$6.0815,$5.84
05/29/2012,$6.338,8236895,$6.002,$6.386,$6.002
05/30/2012,$6.082,6535705,$6.216,$6.284,$6.048
05/31/2012,$5.9,5591825,$6.014,$6.058,$5.75
06/01/2012,$5.63,4428550,$5.706,$5.832,$5.552
06/04/2012,$5.576,5154170,$5.606,$5.682,$5.422
06/05/2012,$5.582,3154425,$5.568,$5.678,$5.512
06/06/2012,$5.844,4549040,$5.64,$5.89,$5.628
06/07/2012,$5.786,2460075,$5.962,$5.974,$5.77
06/08/2012,$6.016,4397045,$5.772,$6.038,$5.6295
06/11/2012,$5.824,3176585,$6.062,$6.2,$5.7917
06/12/2012,$5.932,2844970,$5.846,$5.968,$5.762
06/13/2012,$5.954,4221855,$5.91,$6.128,$5.894
06/14/2012,$5.878,4360805,$6.036,$6.13,$5.724
06/15/2012,$5.982,3232970,$5.878,$5.99,$5.762
06/18/2012,$6.368,6283980,$5.988,$6.466,$5.9
06/19/2012,$6.418,4554145,$6.404,$6.5319,$6.3
06/20/2012,$6.756,17111710,$6.7,$6.9,$6.642
06/21/2012,$6.438,9445475,$6.852,$6.856,$6.368
06/22/2012,$6.757,15048900,$6.52,$6.796,$6.492
06/25/2012,$6.622,7475870,$6.788,$6.824,$6.55
06/26/2012,$6.322,13069245,$6.41,$6.47,$6.278
06/27/2012,$6.392,5235970,$6.38,$6.489,$6.314
06/28/2012,$6.282,4570200,$6.38,$6.422,$6.124
06/29/2012,$6.258,5628520,$6.56,$6.56,$6.2
07/02/2012,$6.08,6537645,$6.27,$6.3599,$6.038
07/03/2012,$6.132,4735640,$6.12,$6.2,$6.08
07/05/2012,$6.246,6268830,$6.162,$6.334,$6.16
07/06/2012,$6.198,3922305,$6.198,$6.346,$6.16
07/09/2012,$6.298,4534575,$6.188,$6.366,$6.134
07/10/2012,$6.254,3791760,$6.308,$6.496,$6.178
07/11/2012,$6.302,3192580,$6.314,$6.336,$6.202
07/12/2012,$6.54,5628350,$6.258,$6.602,$6.16
07/13/2012,$6.85,6522560,$6.594,$6.88,$6.566
07/16/2012,$7.192,8719540,$6.864,$7.2,$6.78
07/17/2012,$6.67,12846065,$7,$7.042,$6.476
07/18/2012,$6.43,14409420,$6.284,$6.734,$6.212
07/19/2012,$6.454,7179390,$6.544,$6.63,$6.408
07/20/2012,$6.358,7842330,$6.414,$6.45,$6.25
07/23/2012,$6.132,6933215,$6.21,$6.26,$6.124
07/24/2012,$5.968,7501255,$6.132,$6.208,$5.924
07/25/2012,$5.79,14107330,$5.984,$5.996,$5.75
07/26/2012,$5.626,11311025,$5.98,$6,$5.528
07/27/2012,$5.902,8364840,$5.742,$5.932,$5.62
07/30/2012,$5.47,10326000,$5.902,$6.0496,$5.442
07/31/2012,$5.484,7875300,$5.508,$5.594,$5.47
08/01/2012,$5.25,7959940,$5.598,$5.598,$5.206
08/02/2012,$5.22,6525080,$5.368,$5.37,$5.104
08/03/2012,$5.454,6047350,$5.38,$5.51,$5.348
08/06/2012,$5.654,7640845,$5.51,$5.74,$5.51
08/07/2012,$6.05,11935920,$5.754,$6.18,$5.7
08/08/2012,$5.818,6544475,$5.98,$6,$5.718
08/09/2012,$5.882,3358040,$5.904,$6,$5.826
08/10/2012,$5.988,3536950,$5.862,$5.988,$5.862
08/13/2012,$6.234,4350250,$5.938,$6.26,$5.8202
08/14/2012,$5.884,3966680,$6.15,$6.234,$5.852
08/15/2012,$5.88,2626925,$5.878,$5.94,$5.762
08/16/2012,$6.06,3344865,$5.906,$6.078,$5.9
08/17/2012,$6.002,2540610,$6.058,$6.142,$5.996
08/20/2012,$5.902,5895040,$6.03,$6.078,$5.82
08/21/2012,$5.822,3807580,$5.916,$6,$5.8
08/22/2012,$5.99,3877450,$5.802,$6.008,$5.802
08/23/2012,$6.146,7354870,$6,$6.17,$5.93
08/24/2012,$5.9,7146555,$6.012,$6.048,$5.882
08/27/2012,$5.664,6751625,$5.914,$5.94,$5.634
08/28/2012,$5.738,7013280,$5.68,$5.875,$5.6
08/29/2012,$5.682,4194415,$5.698,$5.728,$5.604
08/30/2012,$5.682,3281535,$5.72,$5.748,$5.62
08/31/2012,$5.704,2698680,$5.722,$5.768,$5.64
09/04/2012,$5.628,3762480,$5.704,$5.798,$5.58
09/05/2012,$5.588,3196135,$5.602,$5.7,$5.562
09/06/2012,$5.71,4208215,$5.6,$5.78,$5.58
09/07/2012,$5.87,4765755,$5.71,$5.914,$5.7
09/10/2012,$5.474,7415075,$5.84,$5.87,$5.459
09/11/2012,$5.56,5073355,$5.552,$5.632,$5.48
09/12/2012,$5.656,5644170,$5.58,$5.716,$5.56
09/13/2012,$5.896,7393430,$5.714,$5.9,$5.696
09/14/2012,$6.078,7682845,$6,$6.13,$5.93
09/17/2012,$6.508,16063705,$6.47,$6.556,$6.302
09/18/2012,$6.268,8942400,$6.376,$6.38,$6.136
